site1,site2,objective,sample_id,latitude,longitude,status,spp,dbh_cm,tree_ht_m,age,elev_m,vpd_min,vpd_max,temp_min_c,temp_max_c,temp_mean_c,precip_mm,modis_npp,cwd_1981_2010,cwd_2041_2070,sol_rad30,slope,asw_mm,aspect,forest_group,stems_ha,sum_ht_m,mean_ht_m,crown_ha,trees15_ha,basal15_m2ha,drip_ba_m2,pvt,bai50_total,bai25_total,bai10_total,bai5_total,bai50_mean,bai25_mean,bai10_mean,bai5_mean,bai50_scaled_mean,bai25_scaled_mean,bai10_scaled_mean,bai5_scaled_mean
dca,dca1,Y,010013,44.35394302,-119.406807,D,PSME,65,29.5656,235,1729.208088,1.889999986,11.30999947,0.363399982,11.78989983,6.074899673,555.5949707,6557,152.9500732,204.1569977,176657.4531,22.31668663,129.54,304.7418518,group3,166,3327.1968,20.04335422,182,699,28.5,0.106472881,ABGR_Warm_Dry,39005.0006,11030.09819,3563.850352,1821.306925,780.1000119,441.2039277,356.3850352,364.261385,-0.47490961,-0.932299919,-1.046775539,-1.036145242
dca,dca1,Y,010024,44.35387001,-119.406831,A,ABGR,40.6,19.3594874,106,1728.195164,1.889999986,11.30999947,0.363399982,11.78989983,6.074899673,555.5949707,6557,152.9500732,204.1569977,176657.4531,22.05877876,129.54,304.6993713,group3,164,3376.8792,20.59072683,186,699,28.5,0.059259595,ABGR_Warm_Dry,102384.869,63238.42543,34529.00609,16416.26958,2047.69738,2529.537017,3452.900609,3283.253915,0.690487614,1.124673138,1.95671574,1.803847164
dca,dca1,Y,010033,44.35391896,-119.406927,D,PSME,33.2,17.79624459,124,1725.913629,1.889999986,11.30999947,0.363399982,11.78989983,6.074899673,555.5949707,6557,152.9500732,204.1569977,175198.125,21.81625366,129.54,304.8622437,group3,164,3254.3496,19.84359512,181,699,28.5,0.085152375,ABGR_Warm_Dry,40014.08141,5736.409955,1744.148467,906.8964318,800.2816282,229.4563982,174.4148467,181.3792864,0.476424953,-0.6352247,-0.742414989,-0.728852139
dca,dca1,Y,010044,44.35393973,-119.406944,D,ABGR,15.7,9,135,1725.913629,1.889999986,11.30999947,0.363399982,11.78989983,6.074899673,555.5949707,6557,152.9500732,204.1569977,175198.125,21.81625366,129.54,304.8622437,group3,165,3276.2952,19.85633455,184,699,28.5,0,ABGR_Warm_Dry,11935.66447,7753.71205,5791.903362,3430.953757,238.7132895,310.148482,579.1903362,686.1907515,0.783639734,1.223988314,2.882445359,3.542028951
dca,dca1,N,010054,44.35401389,-119.4057817,A,ABGR,80.7,32.2,255,1753.219274,1.889999986,11.30999947,0.363399982,11.78989983,6.074899673,555.5949707,6557,154.1884155,205.9899445,176435.4219,24.20424843,129.54,313.6635132,group3,156,3364.0776,21.5646,180,699,28.5,0.041547563,ABGR_Warm_Dry,188750.457,103134.7948,48040.18085,24016.92072,3775.009141,4125.391793,4804.018085,4803.384143,1.191057858,1.405116451,1.819708293,1.819321
dca,dca1,N,010064,44.35387411,-119.4054406,A,ABGR,70.1,30,248,1769.168142,1.889999986,11.30999947,0.363399982,11.78989983,6.074899673,555.5949707,6557,154.1884155,205.9899445,175047.3594,23.02907181,129.54,314.6173706,group3,158,3614.928,22.87929114,178,699,28.5,0.601477548,ABGR_Warm_Dry,93869.52557,45162.8574,22853.43251,11492.86547,1877.390511,1806.514296,2285.343251,2298.573094,0.956666744,0.877215661,1.413975124,1.428805564
dca,dca1,N,010073,44.35382299,-119.406905,A,PSME,46.7,23.1648,132,1728.195164,1.889999986,11.30999947,0.363399982,11.78989983,6.074899673,555.5949707,6557,152.9500732,204.1569977,178268.3125,22.05877876,129.54,304.6993713,group3,165,3303.4224,20.02074182,192,699,28.5,0.061605301,ABGR_Warm_Dry,173776.8147,80897.41858,37953.88747,17042.90798,3475.536293,3235.896743,3795.388747,3408.581596,0.991386657,0.845435675,1.18619081,0.950608314
dca,dca1,N,010084,44.353911,-119.406785,A,ABGR,65.8,28.23830326,169,1729.208088,1.889999986,11.30999947,0.363399982,11.78989983,6.074899673,555.5949707,6557,152.9500732,204.1569977,176657.4531,22.31668663,129.54,304.7418518,group3,171,3503.9808,20.49111579,186,699,28.5,0.122749677,ABGR_Warm_Dry,125532.0737,79044.21035,34552.58092,13500.20557,2510.641475,3161.768414,3455.258092,2700.041115,0.877655909,1.458971631,1.720994523,1.04674888
dca,dca1,Y,010094,44.35355,-119.4070333,U,ABGR,13.3,11.80551051,98,1731.8355,1.889999986,11.30999947,0.363399982,11.78989983,6.074899673,555.5949707,6557,153.1340027,204.7323303,177282.7656,23.64796257,129.54,304.5860596,group3,161,3264.1032,20.27393292,178,699,28.5,0.04309489,ABGR_Warm_Dry,20109.72193,14774.43524,12603.54445,7266.336989,402.1944387,590.9774096,1260.354445,1453.267398,0.464985854,0.95434603,2.689494399,3.189560247
dca,dca1,Y,010104,44.35355,-119.4070333,U,ABGR,8.4,10.50234802,97,1731.8355,1.889999986,11.30999947,0.363399982,11.78989983,6.074899673,555.5949707,6557,153.1340027,204.7323303,177282.7656,23.64796257,129.54,304.5860596,group3,161,3264.1032,20.27393292,178,699,28.5,0.028632697,ABGR_Warm_Dry,1770.910438,967.9369488,412.0713986,232.4275909,35.41820876,38.71747795,41.20713986,46.48551818,0.165915572,0.330807607,0.455236805,0.719041452
