site,year,month,ppt,tmax,vpdmax
cny,1924,1,37.36600113,-0.233999997,2.90199995
cny,1924,2,59.15499878,6.823999882,5.436999798
cny,1924,3,22.82799911,5.525000095,5.448999882
cny,1924,4,14.42000008,12.78899956,10.91899967
cny,1924,5,3.782000065,19.77400017,18.40099907
cny,1924,6,28.88400078,21.3029995,19.75499916
cny,1924,7,4.742000103,26.17000008,28.37599945
cny,1924,8,15.18999958,23.98699951,24.77300072
cny,1924,9,16.65800095,20.45199966,19.2689991
cny,1924,10,41.89199829,13.14799976,10.6079998
cny,1924,11,68.06999969,4.472000122,3.971999884
cny,1924,12,59.30599976,-2.571000099,2.128999949
cny,1925,1,85.61599731,2.881000042,3.368999958
cny,1925,2,58.47100067,5.550000191,4.484000206
cny,1925,3,28.17399979,7.500999928,6.355999947
cny,1925,4,54.96500015,13.31700039,10.50800037
cny,1925,5,48.18799973,17.90399933,14.77900028
cny,1925,6,28.0739994,21.12999916,18.92099953
cny,1925,7,9.545000076,30.00499916,36.24000168
cny,1925,8,21.70599937,24.65800095,25.7859993
cny,1925,9,37.26599884,20.09199905,18.14900017
cny,1925,10,19.26399994,13.76299953,11.52099991
cny,1925,11,37.88100052,6.276000023,5.160999775
cny,1925,12,69.73899841,3.588000059,3.084000111
cny,1926,1,61.60300064,1.363999963,2.779999971
cny,1926,2,82.60700226,6.284999847,4.822000027
cny,1926,3,23.00300026,10.87199974,9.090000153
cny,1926,4,31.27400017,15.8039999,13.20699978
cny,1926,5,38.20500183,16.66300011,13.72799969
cny,1926,6,11.64900017,24.40099907,24.56100082
cny,1926,7,8.894000053,29.56399918,35.42399979
cny,1926,8,41.92900085,25.58600044,27.19300079
cny,1926,9,9.647000313,18.29500008,16.44799995
cny,1926,10,19.01300049,15.89000034,13.22200012
cny,1926,11,126.2229996,6.848999977,5.077000141
cny,1926,12,78.1289978,1.322000027,2.839999914
cny,1927,1,74.61100006,-0.860000014,2.253999949
cny,1927,2,67.85199738,3.459000111,3.601000071
cny,1927,3,39.23400116,6.133999825,5.546999931
cny,1927,4,26.31299973,10.49199963,8.767999649
cny,1927,5,32.125,13.35900021,10.34300041
cny,1927,6,55.53099823,21.5170002,19.40600014
cny,1927,7,10.09200001,26.30200005,28.5340004
cny,1927,8,5.745999813,24.76799965,25.68199921
cny,1927,9,68.25,14.94699955,10.91600037
cny,1927,10,38.11199951,12.81599998,9.652999878
cny,1927,11,126.4729996,4.18200016,3.02699995
cny,1927,12,52.24700165,-2.721999884,1.907999992
cny,1928,1,68.99900055,0.568000019,2.71600008
cny,1928,2,18.69099998,1.955000043,3.421000004
cny,1928,3,63.87799835,5.785999775,4.751999855
cny,1928,4,43.58100128,7.18599987,5.757999897
cny,1928,5,8.43500042,17.57900047,15.49699974
cny,1928,6,23.27099991,17.50399971,14.1420002
cny,1928,7,13.57400036,27.61300087,30.74200058
cny,1928,8,2.796999931,25.80999947,28.22100067
cny,1928,9,20.36599922,21.26300049,21.05699921
cny,1928,10,28.29100037,13.18799973,10.4630003
cny,1928,11,34.00999832,3.980000019,3.529999971
cny,1928,12,45.1969986,-0.39199999,2.253000021
cny,1929,1,99.81600189,-2.855999947,2.176000118
cny,1929,2,19.51799965,-1.838000059,2.790999889
